model,batch,residency_pct,precision,bw_gbps,e_union,bytes_per_layer,t_transfer_ms,t_compute_ms,compute_provenance,rho,required_bw_gbps_for_rho1
olmoe,32,50.0,nf4,128,58.734,95313678.041088,0.744638109696,3.0997449971735476,measured_here,0.2402256025495601,30.748877126343697
olmoe,32,75.0,nf4,16,58.734,47656839.020544,2.978552438784,3.0997449971735476,measured_here,0.9609024101982404,15.374438563171848
olmoe,32,75.0,nf4,32,58.734,47656839.020544,1.489276219392,3.0997449971735476,measured_here,0.4804512050991202,15.374438563171848
olmoe,32,75.0,nf4,64,58.734,47656839.020544,0.744638109696,3.0997449971735476,measured_here,0.2402256025495601,15.374438563171848
olmoe,32,75.0,nf4,128,58.734,47656839.020544,0.372319054848,3.0997449971735476,measured_here,0.12011280127478005,15.374438563171848
mixtral,1,0.0,fp16,16,2.0,704643072.0,44.040192,0.7606208026409149,measured_here,57.90032542771663,926.4052068434661
mixtral,1,0.0,fp16,32,2.0,704643072.0,22.020096,0.7606208026409149,measured_here,28.950162713858315,926.4052068434661
mixtral,1,0.0,fp16,64,2.0,704643072.0,11.010048,0.7606208026409149,measured_here,14.475081356929158,926.4052068434661
mixtral,1,0.0,fp16,128,2.0,704643072.0,5.505024,0.7606208026409149,measured_here,7.237540678464579,926.4052068434661
mixtral,1,12.5,fp16,16,2.0,616562688.0,38.535168,0.7606208026409149,measured_here,50.662784749252054,810.6045559880329
mixtral,1,12.5,fp16,32,2.0,616562688.0,19.267584,0.7606208026409149,measured_here,25.331392374626027,810.6045559880329
mixtral,1,12.5,fp16,64,2.0,616562688.0,9.633792,0.7606208026409149,measured_here,12.665696187313014,810.6045559880329
mixtral,1,12.5,fp16,128,2.0,616562688.0,4.816896,0.7606208026409149,measured_here,6.332848093656507,810.6045559880329
mixtral,1,25.0,fp16,16,2.0,528482304.0,33.030144,0.7606208026409149,measured_here,43.42524407078747,694.8039051325997
mixtral,1,25.0,fp16,32,2.0,528482304.0,16.515072,0.7606208026409149,measured_here,21.712622035393736,694.8039051325997
mixtral,1,25.0,fp16,64,2.0,528482304.0,8.257536,0.7606208026409149,measured_here,10.856311017696868,694.8039051325997
mixtral,1,25.0,fp16,128,2.0,528482304.0,4.128768,0.7606208026409149,measured_here,5.428155508848434,694.8039051325997
mixtral,1,37.5,fp16,16,2.0,440401920.0,27.52512,0.7606208026409149,measured_here,36.187703392322895,579.0032542771662
mixtral,1,37.5,fp16,32,2.0,440401920.0,13.76256,0.7606208026409149,measured_here,18.093851696161448,579.0032542771662
mixtral,1,37.5,fp16,64,2.0,440401920.0,6.88128,0.7606208026409149,measured_here,9.046925848080724,579.0032542771662
mixtral,1,37.5,fp16,128,2.0,440401920.0,3.44064,0.7606208026409149,measured_here,4.523462924040362,579.0032542771662
mixtral,1,50.0,fp16,16,2.0,352321536.0,22.020096,0.7606208026409149,measured_here,28.950162713858315,463.20260342173304
mixtral,1,50.0,fp16,32,2.0,352321536.0,11.010048,0.7606208026409149,measured_here,14.475081356929158,463.20260342173304
mixtral,1,50.0,fp16,64,2.0,352321536.0,5.505024,0.7606208026409149,measured_here,7.237540678464579,463.20260342173304
mixtral,1,50.0,fp16,128,2.0,352321536.0,2.752512,0.7606208026409149,measured_here,3.6187703392322894,463.20260342173304
mixtral,1,75.0,fp16,16,2.0,176160768.0,11.010048,0.7606208026409149,measured_here,14.475081356929158,231.60130171086652
mixtral,1,75.0,fp16,32,2.0,176160768.0,5.505024,0.7606208026409149,measured_here,7.237540678464579,231.60130171086652
mixtral,1,75.0,fp16,64,2.0,176160768.0,2.752512,0.7606208026409149,measured_here,3.6187703392322894,231.60130171086652
mixtral,1,75.0,fp16,128,2.0,176160768.0,1.376256,0.7606208026409149,measured_here,1.8093851696161447,231.60130171086652
mixtral,1,0.0,nf4,16,2.0,181753872.384,11.359617024,0.7606208026409149,measured_here,14.934665190011659,238.95464304018657
mixtral,1,0.0,nf4,32,2.0,181753872.384,5.679808512,0.7606208026409149,measured_here,7.467332595005829,238.95464304018657
mixtral,1,0.0,nf4,64,2.0,181753872.384,2.839904256,0.7606208026409149,measured_here,3.7336662975029147,238.95464304018657
mixtral,1,0.0,nf4,128,2.0,181753872.384,1.419952128,0.7606208026409149,measured_here,1.8668331487514573,238.95464304018657
mixtral,1,12.5,nf4,16,2.0,159034638.336,9.939664895999998,0.7606208026409149,measured_here,13.0678320412602,209.0853126601632
mixtral,1,12.5,nf4,32,2.0,159034638.336,4.969832447999999,0.7606208026409149,measured_here,6.5339160206301,209.0853126601632
mixtral,1,12.5,nf4,64,2.0,159034638.336,2.4849162239999996,0.7606208026409149,measured_here,3.26695801031505,209.0853126601632
mixtral,1,12.5,nf4,128,2.0,159034638.336,1.2424581119999998,0.7606208026409149,measured_here,1.633479005157525,209.0853126601632
mixtral,1,25.0,nf4,16,2.0,136315404.288,8.519712768,0.7606208026409149,measured_here,11.200998892508744,179.21598228013988
mixtral,1,25.0,nf4,32,2.0,136315404.288,4.259856384,0.7606208026409149,measured_here,5.600499446254372,179.21598228013988
mixtral,1,25.0,nf4,64,2.0,136315404.288,2.129928192,0.7606208026409149,measured_here,2.800249723127186,179.21598228013988
mixtral,1,25.0,nf4,128,2.0,136315404.288,1.064964096,0.7606208026409149,measured_here,1.400124861563593,179.21598228013988
mixtral,1,37.5,nf4,16,2.0,113596170.24000001,7.099760640000001,0.7606208026409149,measured_here,9.33416574375729,149.3466519001166
mixtral,1,37.5,nf4,32,2.0,113596170.24000001,3.5498803200000006,0.7606208026409149,measured_here,4.667082871878645,149.3466519001166
mixtral,1,37.5,nf4,64,2.0,113596170.24000001,1.7749401600000003,0.7606208026409149,measured_here,2.3335414359393223,149.3466519001166
mixtral,1,37.5,nf4,128,2.0,113596170.24000001,0.8874700800000002,0.7606208026409149,measured_here,1.1667707179696611,149.3466519001166
mixtral,1,50.0,nf4,16,2.0,90876936.192,5.679808512,0.7606208026409149,measured_here,7.467332595005829,119.47732152009328
mixtral,1,50.0,nf4,32,2.0,90876936.192,2.839904256,0.7606208026409149,measured_here,3.7336662975029147,119.47732152009328
mixtral,1,50.0,nf4,64,2.0,90876936.192,1.419952128,0.7606208026409149,measured_here,1.8668331487514573,119.47732152009328
mixtral,1,50.0,nf4,128,2.0,90876936.192,0.709976064,0.7606208026409149,measured_here,0.9334165743757287,119.47732152009328
mixtral,1,75.0,nf4,16,2.0,45438468.096,2.839904256,0.7606208026409149,measured_here,3.7336662975029147,59.73866076004664
mixtral,1,75.0,nf4,32,2.0,45438468.096,1.419952128,0.7606208026409149,measured_here,1.8668331487514573,59.73866076004664
mixtral,1,75.0,nf4,64,2.0,45438468.096,0.709976064,0.7606208026409149,measured_here,0.9334165743757287,59.73866076004664
